Restaurant	Food restrictions	Menu
		Mains | Sweet and sour tenderloin
		Vegan | Dry fried cauliflower and broccoli
		Vegan | Fried lotus root slices with green bean and mushroom
		Vegan | Brokadi cumin flavoured vegan mix pot
		Desserts | Fried banana with ice cream
Capperi - Tripla	['Vegetarian']	Starters | Tagliere Capperi : Pizzasuikaleiden kanssa bufala-mozzarellaa, gorgonzolaa ja pecorino-juustoa, San Daniele-ilmakuivattua kinkkua, italialaista kinkkua, sopressata-salamia, ndujaa, Caiazzo-oliiveja ja tonnikalalla täytettyä paprikaa (kahdelle)
		Kids Menu | Lasten Margherita kinkulla
		Kids Menu | Lasten Margherita
		Kids Menu | Lasten Margherita salamilla
		Pizza | Margherita DOP : Tomaattikastike San Marzino-tomaateista, mozzarellaa ja tuoretta basilikaa
		Pizza | Diavola Calabrese : Tomaattikastike San Marzano-tomaateista, mozzarellaa, Calabrian soppressata-salamia, tulista ja mausteista N'duja-salamilevitettä ja tuoretta basilikaa
		Pizza | Capperi! : Mozzarellaa, keltaisia ja punaisia Piennolo-tomaatteja, kapriksia Salinasta, Caiazo-oliiveja ja tuoretta basilikaa
Ravintola Central	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | Etanapannu (L) : Sinihomejuustolla kuorrutettuja etanoita
valkosipulivoissa sekä talon leipää."
		"Mains | Pippuripihvi (L)(G) : 150 g mureaa naudan ulkofileetä, kermaista mustapippurikastiketta,
lämpimiä sesongin kasviksia ja uuniperunaa."
		"Mains | Centun kanaa (L)(G) : Hunajaista kermakastiketta, lämpimiä kasviksia
ja ranskanperunoita."
		"Mains | Centun Burger (L) : Rotukarjan burgerpihvi (160 g), jääsalaattia,
tomaattia, punasipulia, cheddarjuustoa, BBQ-kastiketta
ja chilimajoneesia. Burgerin kaveriksi ranskalaisia."
		"Mains | Paistettua maksaa ja rapeaa pekonia (L, G) : Kermakastiketta, perunasosetta, sokeroitua
puolukkaa, rapeaa pekonia ja lämpimiä kasviksia."
Mamma Rosa	['Vegetarian']	"Starters | Yrtti-valkosipulikuorrutetut etanat	L : Snails with garlic and herb butter"
		Starters | Buffalomozzarella-tomaattibruschetta VL,SG : Bufala mozzarella and tomato bruschetta
		Starters | Raputoast Mamma Rosa, lohenmätiä L, SG : Shrimp toast with roe of salmon
		Mains | Vuohenjuustoa ja portobellosientä, valkosipulipastaa VL : Goat cheese and portobello mushroom, garlic pasta
		Mains | Päivän tuoretta kalaa, punajuurikastiketta L,G : Fresh fish of the day, beetroot sauce
		Mains | Grillisitruunakuorrutettua broileria, parmesanrisottoa L, G : Grilled lemon gratinated chicken, parmesan risotto
		Desserts | Suklaafondant, marjasorbet L : Chocolate fondant, berry sorbet
		Desserts | Vaniljapannacotta, raparperia ja mansikkaa L, G : Vanilla panna cotta, rhubarb and strawberries
		Desserts | Tiramisu L
Pomo D'Or Hietalahti	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Asparagi e Burrata con Bottarga di Muggine : pehmeää parsaa klassisella Béarnaisekastikkeella, Apulian burrataa jauhetun mullet Bottarga -pulverin kanssa (jauhettua kelttikalan mätiä) ja ruisleivän muruja
		Antipasti | Tartare di Salmone Marinato : raavattua lohta taimenen mädin, rouhittujen pistaasipähkinöiden ja tillikastikkeen kanssa
		Antipasti | Veli di Bresaola Gourmet : ohueksi viipaloitua Bresaola-kinkkua Parmigiano Reggiano -lastujen, rucolan, sitruunavinaigretten ja metsämarjakastikkeen kera
		Primi Piatti | Spaghetti alla Carbonara Tradizionale : spagettia, guancialelihaa ja Pecorino Romano -juustoa, emulgoitu klassisella roomalaisella tavalla
		Primi Piatti | Risotto Primavera di Mare : parsarisottoa katkaravuilla, sitruunalla, taimenen mädillä ja parmesaanikermalla
		Mains | Tagliata di Entrecôte ai Frutti di Bosco : grillattua, siivutettua entrecôtepihviä metsämarjakastikkeella, annos tarjoillaan rucolan, kirsikkatomaattien, Parmigiano Reggiano -lastujen ja valkosipuliperunoiden kanssa
		Mains | Salmone e Asparagi al Pepe Rosa : paahdettu lohifilee parsan ja rosépipippuriperunoiden kanssa tillivoikastikkeella
		Desserts | Tiramisù Classico : klassinen italialainen jälkiruoka perinteiseen tapaan
		Desserts | Affogato al Caffè : espressokahviin upotettua vaniljajäätelöä
Tinku Café Bar	['Gluten-free', 'Vegan', 'Vegetarian']	"Lunch | Lunch : Monday to Friday we have lunch from 10-15!
Come to try our delicious Latin Bowls and empanadas!"
Brasserie Grand	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | Salade de Chèvre Chaud: vuohenjuustosalaatti, grillattua leipää, rapeaa pekonia ja paahdettuja pinjansiemeniä (VL) : Chèvre salad with grilled bread, crispy bacon and toasted pine nuts (LL) 14,50 €
 Recommended wine: Domaine de la Perrière Blanc Fumé de Pouilly 16,20 € / 12cl"
		"Starters | Toast Skagen:   käsinkuorittuja katkarapuja, briossileipää ja muikunmätiä (L) : hand-peeled shrimps, brioche and vendace roe (L) 16,50 € 
Recommended wine: Leitz 4 Friends Riesling Trocken 10,60 € / 12cl"
		"Starters | Brasserie Grandin tartarpihvi,  keltuaiskreemiä, pikkelöityjä sinapinsiemeniä, sipulia ja piparjuurta (M, G) : Steak tartare á la Brasserie Grand,  egg yolk cream, pickled mustard seeds, onion and horseradish (M, G)  15,50 €
 Recommended wine: Cossetti Barbaresco 13,80 € / 12cl"
		"Mains | Pecorinorisottoa, San Daniele kinkkua ja Chianti-lientä (L, G) : Pecorino risotto, Prosciutto di San Daniele and Chianti stock (L, G)  32,00 €
Recommended wine: Castello di Radda Chianti Classico DOCG 15,50 € / 16cl"
		"Mains | Brasserie Grandin tartarpihvi,  keltuaiskreemiä, pikkelöityjä sinapinsiemeniä, sipulia ja piparjuurta, sivusalaatti,  parmesan-rosmariiniranskalaisia sekä aiolia (M, G) : Steak tartare a´la Brasserie Grand,  egg yolk cream, pickled mustard seeds, onion and horseradish, side salad,  parmesan-rosemary fries and aioli (M, G)  28,50 €
 Recommended wine: Cossetti Barbaresco 18,30 € / 16cl"
		Mains | Härän marmorifileepihvi, Comté-perunapyreetä,   maa-artisokkaa ja salottisipuli-punaviinikastiketta (L, G) : Marble beef fillet, Comté potato pyrée, Jerusalem artichoke and shallot-red wine sauce (L, G)  42,00 € Recommended wine: Ogier Artésis Rouge Côtes du Rhône 12,60 € / 16cl
		"Desserts | Omena-frangipanekakkua ja crème anglaise (L) : Apple-frangipane cake and crème anglaise (L)  11,50 €
Recommended wine: Golser Wein Beerenauslese 13,20 € / 8cl"
		"Desserts | Kookospannacotta, limesiirappia ja vadelmageeliä (M, G, V) : Coconut pannacotta, lime syrup and raspberry gel (M, G, V)  11,50 €
Recommended wine: Cossetti Moscato d’Asti La Vita9,60 € / 8cl"
		"Desserts | Suklaa-pistaasi crème brûlée (L, G) : Chocolate pistachio crème brûlée (L, G)  11,50 €
Recommended wine: Château Mulonniére Coteaux du Layon 11,70 € / 8cl"
Victors Krog	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | ”Krogtail” : Jokirapucocktail Krogin tyyliin. Raikkaita jokiravunpyrstöjä, kurkkua, kevätsipulia, punssilla maustettua tomaattimajoneesia (L,G)
		Starters | Jääkellarin lohi : Miedosti maustetussa liemessä marinoitua lohta, piimä-piparjuurikastiketta ja tilliöljyä (L,G)
		Starters | Toast Skagen : Saaristolaisleipää sillivoilla siveltynä, skagenröraa jokiravunpyrstöillä ja muikunmätiä (L)
		Mains | Wanhan Helsingin kalakärry : Kärry on lastattu päivän silleillä ja silakoilla. Lisäksi tarjolla on maalaisserkun järviherkkuja, varhaisperunaa ja tuoretta tilliä. (L,G)
		Mains | Sipulipihvi : 200 g marmoroitua ulkofileetä, paistettua keltasipulia, kermaista pippuri-konjakkikastiketta, kauden kasviksia ja paistettua varhaisperunaa (L, G)
		Mains | Hauki Wallenberg : Kuohkea haukipihvi, sienikastiketta sekä puikulaperunamuusia ja muikunmätiä (L)
		Desserts | Raparperi-kaurapaistos ja jäätelöä
		Desserts | Piimäkakkua, marjoja, smetanaa, balsamicoa ja vaahterasiirappia
		Desserts | Juustoa ja kuusenkerkkäsiirappia
Version	['Vegan', 'Vegetarian']	Mains | Parsley risotto : Parsley risotto
		Mains | Mushroom skewer, herb salad : Globe artichoke, salt potatoes, antiboise sauce
		Mains | 200g Charcoal-grilled beef tenderloin (Finland) : Caramel carrots, roasted padron pepper, bordelaise sauce
Block By Dylan	['Gluten-free', 'Vegan', 'Vegetarian']	Brunch | Brunssi : - Valikoima kauden salaatteja- Jogurttia, mysliä ja kotimaisia marjoja- Leikkeleitä, kermajuustoa, levitteitä- Leipävalikoima, karjalanpiirakoita ja croissantteja- Lämpimiä vaihtoehtoja- Herkullinen jälkiruokapöytä- Vohvelibaari
		Lunch | Lounas
		Beverages | H2H teet
Lie Mi Bulevardi	['Gluten-free', 'Vegetarian']	Starters | GOI CUON: SUMMER ROLLS : Pork belly / Mango chicken / Shrimp + avocado / Smoked salmon / Tofu
		Dim Sum | STEAMED DIM SUMS : Pork / Shrimp
		Mains | HANOI FRIED RICE : Beef / chicken / tofu / shrimp
		Mains | CRISPY DUCK WITH RICE & CURRY SAUCE
		Mains | STIR FRIED NOODLES : Beef / chicken / tofu / shrimp
Kuusi Palaa	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Puoli Kuusi (3) : Paneroitua aurajuustoa / paholaisenhilloa / tuoretta tyrniä (L, G)*Mustikkagraavattua lohta / tilliaiolia / kuivattua kaprista (G, M)Vorschmackia / punajuurismetanaa / suolakurkkua (L, G) sis. anjovista
		Mains | KUHA (L , G) : Grillattua kuhaa, maalaisperuna-juuressalaattia, Koskenkorva-beurre blanc
		Mains | SORSA (L , G) : Grillattua sorsanrintaa keittiöpäällikön tapaan, punaherukkakastiketta, perunamunkkia, punajuuripyrettä, marinoitua kantarellia
		Mains | RISOTTO (L , G) * sis. pähkinää : Kantarellirisottoa, Halla-juustoa, cashew-kreemiä
		Desserts | MARSKIN MOKKA6PALAA (L , G) : Suklaakakkua, valkosuklaaganachea, espressomartinijäätelöä sis. alkoholia
		Desserts | KARDEMUMMA CRÈME BRÛLÉE (L, G) : Kardemummalla maustettua crème brûléeta ja seljankukkaraparperia
		Desserts | SITRUUNAPANNACOTTA (G , V) : Sitruunaista pannacottaa ja mansikkageeliä
Cafe Bar No 9	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | CAESAR SALAD (L) : WITH CHICKEN
		"Salads | THE GREEK (G,K) : FRIED HALLOUMI ON A CRISP BED OF FRESH LETTUCE AND SEASONAL FRUITS.
FINISHED WITH A CITRUS VINAIGRETTE AND SUNFLOWER SEEDS."
		"Salads | ATKINS (M,G) : YOUR CHOICE OF SALMON OR SIRLOIN STEAK, SERVED ON A GENEROUS PORTION
OF FRESH SALAD, THEN FINISHED WITH OUR GARLIC AND HERB DRESSING."
		Pasta | POLLO LIMONELLO (L) : OUR SIGNATURE DISH. SLICED CHICKEN BREAST IN A LEMON YOGHURT SAUCE.
		Pasta | CARBONARA & GRAN CARBO (L) : SMOKED HAM, BACON, ONION AND GARLIC TOPPED WITH AN EGG YOLK.UPGRADE TO GRAN CARBO BY ADDING CHORIZO AND PARMESAN +2,00€
		Pasta | LUIGI  (L,K,V) : FRESH SPINACH AND PESTO PASTA MIXED WITH SPAGHETTI.
		"Mains | CLASSIC CORIANDER WOK (M) : A CLASSIC SINCE 1996! CHICKEN OR JALOTOFU, VEGETABLES AND RICE NOODLES
IN A SOY-BASED SAUCE."
		"Mains | MONTE ROSSO BURGER (L) : THE WAY BURGERS SHOULD BE! 150G OF BEEF, CHEDDAR CHEESE AND
HOMEMADE BBQ MAYO. SERVED WITH HAND CUT WEDGES AND DIP."
		"Mains | SALMON MEDALLION (G,L) : A LARGE CUT OF FRESH SALMON COVERED IN A CREAMY WHITE WINE AND
CHIVE SAUCE, SERVED ON A BED OF MASH AND FINISHED WITH A SIDE SALAD."
Panimoravintola Viisi Penniä	['Vegan', 'Vegetarian']	"Starters | HÄRKÄTARTAR (L, G*) : Tuoretta kotimaista naudanpaistia, marinoitua punasipulia, lipstikkamajoneesia, paahdettuja
kapriksia, keltuaista ja hapanjuurileipää"
		"Starters | LOHTA JA PUNAJUURTA (L, G*) : Punajuuren kera graavattua merilohta, lipstikkamajoneesia,
marinoitua punasipulia, friteerattua kaprista ja
saaristolaisleipä-crumblea"
		"Starters | PAAHDETTU KUKKAKAALIKEITTO (L, G*) : Kuohkeaa paahteinen kukkakaalikeitto, friteerattua
kukkakaalia, paahdettua voita ja krutonkeja, rapeaa lehtikaalia
(saatavilla pekonilla höystettynä pyydettäessä)"
		"Mains | PENNIN LIHAPULLAT (L, G) : Klassiset naudanlihapullat, keittiömestarin kermaista
pippurikastiketta, perunamuhennosta, kotimaista
puolukkaa ja Myrttisen suolakurkkua"
		"Mains | OMAN KEITTIÖN SAVULOHI (L,G) : Viiden Pennin keittiössä savustettua lohta, tilli-voiperunaa,
kukkakaalipyree ja raikas yrtti-fenkolisalaatti"
		"Mains | SITRUUNAINEN PINAATTIRISOTTO (L,G* ,V*) : Perinteinen risotto, jossa pinaattia kahdella tapaa,
ruohosipulia, sokerihernettä, parmesania ja paahdettua
voita"
		"Desserts | KEY LIME PIE (L,G) : Lime-juustokakkua Amerikan tyyliin, paahdettua marenkia
ja tuoreita marjoja"
		"Desserts | PASSION CREME BRULEE (L,G) : Klassinen kermavanukas paahdetulla sokerilla ja tuoretta
passionhedelmää"
		"Desserts | PENNIN RITARIT (L) : Voissa paistettuja rikkaita ritareita, vaniljajäätelöä ja
tuoreita marjoja"
Relove Stockmann Helsinki	['Gluten-free', 'Vegan', 'Vegetarian']	Breakfast | MARANT (L, G) : omeletti minttu-hernetahnalla ja fetalla & vihersalaattiavihersmoothiegranola mantelimaidolla & marjoillaluomukahvi tai-tee / erikoiskahvi +3€
		Breakfast | FILIPPA (L) : vatkattua minttufetaa, kurkkua, & yrttiöljyävesimelonia & rucolaapaahdettua leipää & keitetty luomukananmunaomena-inkiväärimehuluomukahvi tai-tee / erikoiskahvi +3€
		Breakfast | BOSS (Ve, G) : acai bowl, granolaa & maapähkinävoitasaaristolaisleipääavokadoa & hummustatuoreita hedelmiäinkiväärishottiluomukahvi tai-tee / erikoiskahvi +3€
		Lunch | I Think You're Egg-cellent (L, G) : omeletti minttu-hernetahnalla, fetalla, marinoitua punasipulia & vihersalaattia (G,L)
		Lunch | Keitto : paahdettu bataattikeitto & ripotteita (G, VE)
		Mains | Afternoon Tea kahdelle : Reloven Afternoon Tea-kattaus sisältää haudutetun teen, jaettavan makean kakkuplatterin sekä suolaisen leivän.
Il Centro - Scandic Helsinki Hub	['Gluten-free', 'Vegan', 'Vegetarian']	"Antipasti | PASTRAMI M, G : Pippuroitua härkäpastramia ja tryffeliaiolia
Pepper-crusted beef pastrami with truffle aioli"
		"Antipasti | BRUSCHETTA : Kylmäsavulohta ja vaahdotettua sitruunaricottaa,
ja grillattua hapanjuurileipää
Cold-smoked salmon and whipped lemon ricotta
on grilled sourdough bread"
		"Antipasti | BURRATA L, G : Tomaattia, mozzarellaa ja pistaasipähkinää
Tomato, mozzarella & pistachio"
		"Mains | POLPETTE L : Italialaisia lihapullia, tomaattikastiketta, parmesaania, basilikaa ja tagliatellea
Italian meatballs in tomato sauce with Parmesan, basil & tagliatelle pasta"
		"Mains | RISOTTO L, G, : Herkkutattirisottoa, grillattua kuningas osterivinokasta ja mozzarellaa
Porcini risotto with grilled kingoyster mushrooms & mozzarella"
		"Mains | BISTECCA AL PEPE  L, G : Kotimainen sisäfileepihvi, kermaista viherpippuri kastiketta, valkosipuli papuja
ja parmesaani ranskalaisia
Domestic fillet steak, creamy green pepper sauce, garlic beans & Parmesan
fries"
		"Pizza | IL CENTRO SPECIALE : Gustarosso-tomaatteja, savukinkkua, ananassalsaa, sinihomejuustoa ja
parmesaaniaGustarosso tomatoes, smoked ham, pineapple salsa, blue cheese and
parmesan"
		"Pizza | PARMA : Gustarosso-tomaatteja, parmankinkkua, buffalo mozzarellaa, rucolaa ja
parmesaaniaGustarosso tomatoes, parma ham, buffalo mozzarella, rocket and parmesan"
		"Pizza | DIAVOLA : Gustarosso-tomaatteja, mausteista salamia, Calabrian 'Ndujaa,
Agerola-mozzarellaa, basilikaa ja oliiviöljyäGustarosso tomatoes, spicy salami, Calabria 'Nduja, agerola mozzarella,
basil and olive oil"
Ateneum Bistro	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | Viikottain vaihtuva menu
		Afternoon Tea | Afternoon Tea 2 hengelle : Suolaisia ja makeita herkkuja, sekä teetä.​Ilmoitathan mahdollisista allergioista etukäteen. Afternoon Tea -kattaus on varattava etukäteen.
Kahvila Rakastan	['Gluten-free', 'Vegan', 'Vegetarian']	Brunch | Vaihtuva brunssi
		Lunch | Vaihtuva lounas : arkisin klo 11-15
Hesperia Restaurant & Bar	['Vegetarian']	"Starters | BLINI (L) : Kirjolohenmätiä, savusmetanaa ja
punasipuliaRainbow trout roe, smoked sour cream and
red onion"
		"Starters | ARANCINI (V, G) : Tattitäytteinen arancini, tomaattihilloa ja
pinaattihummustaArancini filled with porcini mushrooms, served
with tomato jam and spinach hummus"
		"Starters | SNAILS (L) : Pankojauhoilla gratinoidut valkosipuli-persiljavoietanat, sinihomejuustoa ja grillattua
levainleipääPanko-gratinated snails in garlic-parsley
butter with blue cheese and
grilled levain"
		"Mains | REINDEER (L, G) : Perinteistä poronkäristystä Hesperian tapaan,
perunapyre, valkosipulikurkkuja ja puolukkasurvostaTraditional sautéed reindeer “Hesperia style”, served
with potato purée, garlic pickles and lingonberry jam"
		"Mains | CHICKEN (L, G) : Grillattua kananrintafileetä, kurpitsarisottoa,
babypinaattia, haudutettua fenkolia ja
portviinikastikettaGrilled chicken breast with pumpkin risotto,
baby spinach, braised fennel, and port wine sauce"
		"Mains | RISOTTO (V, G) : Sahramirisotto, pikkelöityä kantarellia, paahdettuja
pinjansiemeniä ja lehtikaalisipsejäSaffron risotto with pickled chanterelles, roasted
pine nuts and kale chips"
		"Desserts | APPLE TRIFLE (L, G) : Paahdettua omenaa, kanelisiirappia, vanilja-mascarponemoussea ja karamellisoituja kauraleseitäRoasted apple, cinnamon syrup, vanilla-mascarpone
mousse, and caramelized oat flakes"
		"Desserts | CHOCOLATE (L, G) : Suklaafondant, sitruunacurdia, pistaasia ja vaniljajäätelöäChocolate fondant with lemon curd, pistachio and
vanilla ice cream"
Más	['Gluten-free', 'Vegan', 'Vegetarian']	"Mains | MAS BURGER* (M) : Grillattu 200 g Black Angus hampurilaispihvi,
mojorojo-salsaa, karamellisoitua sipulia,
 jalopeno-pekoniaiolia ja ranskalaisia perunoita
Grilled 200 g Black Angus burger steak, mojo rojo,
caramelized onion, jalapeño and bacon aioli
and french fries"
		"Mains | IBERICO (L, G) : Pitkään haudutettua ja portviinillä glaseerattua
ylikypsää Iberico porsaanniskaa, grillattua kaalia ja
selleri-perunapyreetä
Braised Iberico pork neck glazed with port, grilled cabbage
and celery and potato puree"
		"Mains | BISTEC Y ENSALADA (L, G) : Grillattu 200 g härän ulkofileepihvi, chipotle-bearnaisea,
espanjalaista tomaattisalaattia ja ranskalaisia perunoita
Grilled 200 g beef sirloin steak, chipotle and béarnaise
sauce, Spanish tomato salad and french fries"
		"Tapas | ATUN PINTXO (L) : Tonnikalatahnaa ja grillattua paprikaa
Tuna spread and grilled bell peppers"
		"Tapas | SERRANO PINTXO (M) : Paistettuja herkkusieniä, hunaja-aiolia
ja serranokinkkua leivällä
Fried button mushrooms, honey aioli
and serrano ham on bread"
		"Tapas | ALBONDIGAS (M, G) : Tomaattikastikkeessa haudutettuja
Espanjalaisia lihapullia
Spanish meatballs in tomato sauce"
		"Desserts | TARTA DE QUESO (L, G) : Espanjalainen paistettu juustokakku ja mansikoita
Spanish baked cheesecake and strawberries"
		"Desserts | XOCO (L, G) : Suklaavanukas, appelsiinia, paahdettua mantelia
ja oliiviöljyä
Chocolate pudding, orange, roasted almonds
and olive oil"
		"Desserts | CHURRO (L) : Espanjanmunkki ja suklaakastiketta
Deep fried doughnut sticks with chocolate sauce"
Classic Pizza Forum	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | CHORIZO ANTIPASTI : Chorizoa, aurinkokuivattua tomaattia, rucolaa ja aiolia.
		Starters | TZATSIKI CEASAR SALAATTI PIENI
		Starters | MOZZARELLA ANTIPASTI
		"Pizza | VERDE MON DIEU! : Raastettua punajuurta, aurajuustoa,
auringonkukansiemeniä, tomaattismetanaa,
rucolaa, hunajaa ja seesamikastiketta"
		"Pizza | TRUFFO : Rucolaa, tuoreita herkkusieniä ja siitakesieniä, punasipulia,
sekä tryffeliöljyä. Vaaleapohjainen pizza, joka ei sisällä tomaattikastiketta."
		Pizza | MARGOT & RITA : Tuoretta basilikaa.Lisätäytteeksi suosittelemme mozzarella di bufalaa +3 €
		Desserts | SUKLAA-APPELSIINILEIVOS : Suussa sulava, täyteläinen suklaaleivos ja sorbettia.
		Desserts | ASSERIN TAIGA : Temperoitua leipäjuustoa, lakkahilloa ja vaniljajäätelöä.
Ravintola Mullikka	['Gluten-free', 'Vegan', 'Vegetarian']	Burgers | MULLIBURGERI : 160g rotukarjapihvi, talon salsaketsuppia, cheddaria, tomaattia, pikkelöityä punasipulia, Dijon-majoneesia
		Burgers | SMASH (myös kasvisversio) : 2 x 80g rotukarjapihvi, Amerikan cheddaria, maustekurkkua, chili-limemajoneesia
		Burgers | AURABURGERI : 160g rotukarjapihvi, aurajuustoa, pikkelöityä punasipulia, talon salsaketsuppia, valkosipulimajoneesia
Da Spizzico	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Tagliere di Salumi e Formaggi -lajitelma : Salami - kuivattu kinkku - juusto - oliivi - focaccia leipä
		Pizza | La Siciliana : Fior di latte - pistaasi - mortadella leikkelemakkara - burrata - pistaasijauhetta
		Pizza | La Vegana : tomaattikastike - portobello - kesäkurpitsa - paprika
		Desserts | Tiramisù
Skiffer Viiskulma	['Gluten-free', 'Vegan', 'Vegetarian']	Pizza | KAA 4 : Korpelan saunapalvikinkkua, Forum d'Ambert AOP sinihomejuustoa ja tuoretta ananasta.
		"Pizza | Pan Con Vegan : Pan Con Vegan
Paahdettua Portobello sieniä, villitomaatteja, vegaani-juustoa, yrttejä ja valkosipulia."
		Pizza | Surf & Turf : Tuoretta chorizomakkaraa, jokirapuja, tuoretta chiliä ja korianteria.
Bistro O Mat Hakaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | TOPINAMBUR & BUFFALA : Kuohkeaa maa-artisokkakeittoa, buffala-juustoa,
villiriisiä, tattaria ja omenaa"
		"Starters | BOEUF TARTARE : Maustettu häränlihatartar, kaprista, punasipulia,
hasselpähkinää, piparjuurta ja tryffeliä"
		"Starters | COCKTAIL DE CREVETTES : Käsinkuorittua katkarapua, taskuravun lihaa,
muikunmätiä, Rhodes island- kastiketta, omenaa ja
sydänsalaattia"
		"Mains | RISOTTO AUX CÈPES : Herkkutattirisottoa, raikasta omenaa, villiriisiä ja
paahdettua pinjansiemeniä"
		"Mains | MOULES MARINIÉRES : Anis-fenkolikermassa keitettyjä
sinisimpukoita, jalapenoa, ranskanperunoita,
hapanjuurileipää ja aiolia"
		"Mains | AGNEAU : Mureaksi haudutettua Lallin Lampaan karitsan
ulkofileetä, metsäsieniä, karamellisoitua sipulia,
palsternakkapyreetä ja piparjuurikastiketta"
		"Desserts | FRAMBOISIER & TIMUR : Vadelmasorbettia, Timur
pippurimarenkia ja vaniljakreemiä"
		"Desserts | CHOCOLAT : Suklaamoussea 63% Vanuari-suklaasta,
hasselpähkinää ja boyssenmarjasorbettia"
		"Desserts | CHARIOT Á FROMAGE : Valikoima parhaita ranskalaisia juustoja
juustokärrystä ja hilloketta"
Makaronitehdas Forum	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | RUSTIIKKINEN MAALAISLEIPÄ : Meillä tänään paistettua maalaisleipää oliiviöljyn
ja balsamicon kera"
		"Starters | JOKIRAPU-CAESARSALAATTI : Jokirapuja, romainesalaattia, talon raikasta
caesarkastiketta, parmesaanilastuja ja krutonkeja"
		Starters | VIHERSALAATTI : Pastan rinnalle vihersalaatti. Rucolaa, romainesalaattia, oliiviöljyä ja sitrusvinaigretteä
		Pasta | SALVIA-VOIPASTA : ”Cur moriatur homo cui salvia crescit in horto?” – Miksi kuolisi ihminen, jos salvia kasvaa hänen puutarhassaan? Tuoretta salviaa, voita ja parmesania
		"Pasta | CARBONARA : Aina maittava klassikko! Rapeaksi paistettua sian
savukylkeä, kermaa, kananmunaa sekä mustapippuria. Sisältää parmesania"
		"Pasta | KOTPOT : Thaimaalaisia makuja Makaronitehdaslaisittain!
Valkosipuliöljyssä tiristettyä kanaa kookosmaidossa, korianteria, inkivääriä, chiliä, punaista currya, kalakastiketta ja limeä"
		Desserts | SUKLAA-APPELSIINILEIVOS JA SORBETTIA : Suussa sulava, täyteläinen suklaaleivos ja sorbettia
		Desserts | SWEET SANTA MINTTUSUKLAAJÄÄTELÖÄ : Minttusuklaan makuinen täyteläinen kermajäätelö
		Desserts | BAD SANTA LIMONCELLO JÄÄTELÖÄ K-18 : Italian perhetiloilla tuotetulla limoncello-liköörillä maustettu kermajäätelö. Tuote sisältää alkoholia, eikä täten sovellu kuin täysi-ikäisille asiakkaille (alkoholipitoisuus 4%). Tätä et löydä muualta!
Ekberg	['Gluten-free', 'Vegan', 'Vegetarian']	"Breakfast | Runsas aamiainen Helsingin keskustassa : Arkisin aamiaista tarjoillaan klo 7.30–10.30. Noutopöydässä on tarjolla runsas valikoima oman leipomomme käsinleivottua leipää, croissantteja, juustoa, leikkeleitä, vihanneksia, puuroa, jogurttia, mysliä, keitettyjä kananmunia, kermaisaa uunimunakasta,makeaa jälkiruokaa sekä kahvia, teetä ja tuoremehua.AamiainenMa - Pe	 klo 07.30- 10.30"
		Brunch | Kiireetön lauantai- ja sunnuntaibrunssi : Tarjoilemme Brunssia lauantaisin ja sunnunstaisin 09.00-14.30 tarjolla on mm. oman leipomomme käsinleivottua leipää, uunituoreita voicroissantteja, juustoa, leikkeleitä, nakkeja/lihapullia/pekonia, mausteperunoita/juureksia vaihdellen, tuoreita vihanneksia, erilaisia ruokaisia salaatteja, uunikaurapuuroa, jogurttia, mysliä, muroja, keitettyjä kananmunia, kermaisaa uunimunakasta, raikkaita hedelmiä, makeaa jälkiruokaa sekä kahvia, teetä ja tuoremehua. Valikoima vaihtelee kausittain.BrunssiLa – Su 9.00 - 14.30
		"Lunch | Maistuva lounasbuffet : Tarjoilemme lounasta joka arkipäivä kello11.00-14.00. Tarjolla on runsas salaattipöytä, keittoa tai muuta lämmintä ruokaa vaihdellen eri viikonpäivinä, tuoretta leipää omasta leipomostamme, kahvia ja teetä sekä makeaa jälkiruokaa.. Lounaamme on laadukkaista raaka-aineista valmistettua, herkullista kotiruokaa, ja teemme kaiken alusta alkaen itse, paikan päällä. Lounaslistamme vaihtuu viikoittain.LounasMa - Pe	11.00 - 14.00"
		Lunch | Kahvit,  leivokset  ja à la carte -listan antimet saatavilla muina aikoina. Lämpimästi tervetuloa hemmoteltavaksi!
Ginza Sushi Bar Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | MISO SOUP (L) : Silken tofu, dried seaweed and chives
		Starters | SALMON TATAKI (4 PCS) : Seared salmon with guacamole and salmon roe.
		"Starters | FRIED CHICKEN KARAAGE (4 PCS) : Fried soy-marinated chicken with cabbage and miso dressing.
Choose your dipping sauce: Truffle Mayo | Spicy Mayo."
